
Host: WX400847

Timers On : Thu Apr 30 10:42:18 2026
Timers Off: Thu Apr 30 10:42:25 2026

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:42:54 2026
Timers Off: Thu Apr 30 10:46:25 2026

Wall Time:      211.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Grad: S                             :      0.000u      0.000s      0.011w    106 calls
Grad: JK                            :      0.000u      0.000s      5.999w    106 calls
| JKGrad: Amn                       :      0.000u      0.000s      1.291w    106 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.341w    106 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    106 calls
| JKGrad: AB                        :      0.000u      0.000s      0.684w    106 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w    106 calls
| JKGrad: UV                        :      0.000u      0.000s      0.027w    106 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.216w    106 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w    106 calls
| JKGrad: Amnx                      :      0.000u      0.000s      1.487w    106 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.460w    106 calls
Grad: XC                            :      0.000u      0.000s     22.256w    106 calls
| Properties                        :      0.000u      0.000s      8.045w  59172 calls
| Functional                        :      0.000u      0.000s     10.529w  59172 calls
| V_xc gradient                     :      0.000u      0.000s      3.406w  59172 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:47:08 2026
Timers Off: Thu Apr 30 10:48:46 2026

Wall Time:       98.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.479w     49 calls
build grid                          :      0.000u      0.000s      0.913w     49 calls
post-process grid                   :      0.000u      0.000s      0.558w     49 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.292w     49 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.697w    339 calls
DFH: initialize()                   :      0.000u      0.000s      0.825w     49 calls
DFH: AO Construction                :      0.000u      0.000s      0.117w     49 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.016w     49 calls
HF: Form core H                     :      0.000u      0.000s      0.297w     49 calls
HF: Form S/X                        :      0.000u      0.000s      0.014w     49 calls
HF: Guess                           :      0.000u      0.000s      2.200w     49 calls
SAD Guess                           :      0.000u      0.000s      2.086w     49 calls
HF: Form G                          :      0.000u      0.000s     51.291w    403 calls
RV: Form V                          :      0.000u      0.000s     51.154w    403 calls
Properties                          :      0.000u      0.000s      8.239w 251845 calls
Functional                          :      0.000u      0.000s     46.063w 251845 calls
V_xc                                :      0.000u      0.000s      4.701w 225044 calls
JK: D                               :      0.000u      0.000s      0.002w    403 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w    403 calls
JK: JK                              :      0.000u      0.000s      0.071w    403 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.069w    403 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    403 calls
DFH: compute_J                      :      0.000u      0.000s      0.027w    403 calls
DFH: compute_K                      :      0.000u      0.000s      0.029w    403 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w    403 calls
HF: Form F                          :      0.000u      0.000s      0.007w    403 calls
HF: Form D                          :      0.000u      0.000s      0.002w    403 calls
HF: DIIS                            :      0.000u      0.000s      3.076w    354 calls
HF: Form C                          :      0.000u      0.000s      0.236w    354 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.019w     48 calls
Grad: S                             :      0.000u      0.000s      0.005w     48 calls
Grad: JK                            :      0.000u      0.000s      2.599w     48 calls
JKGrad: Amn                         :      0.000u      0.000s      0.578w     48 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     48 calls
JKGrad: AB                          :      0.000u      0.000s      0.326w     48 calls
JKGrad: UV                          :      0.000u      0.000s      0.012w     48 calls
JKGrad: ABx                         :      0.000u      0.000s      0.096w     48 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.654w     48 calls
Grad: XC                            :      0.000u      0.000s      9.934w     48 calls
V_xc gradient                       :      0.000u      0.000s      1.529w  26801 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.479w     49 calls
| build grid                        :      0.000u      0.000s      0.913w     49 calls
| post-process grid                 :      0.000u      0.000s      0.558w     49 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.292w     49 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.215w     49 calls
DFH: initialize()                   :      0.000u      0.000s      0.825w     49 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.149w     98 calls
| DFH: AO Construction              :      0.000u      0.000s      0.117w     49 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.016w     49 calls
HF: Form core H                     :      0.000u      0.000s      0.297w     49 calls
HF: Form S/X                        :      0.000u      0.000s      0.014w     49 calls
HF: Guess                           :      0.000u      0.000s      2.200w     49 calls
| SAD Guess                         :      0.000u      0.000s      2.086w     49 calls
HF: Form G                          :      0.000u      0.000s     51.291w    403 calls
| RV: Form V                        :      0.000u      0.000s     51.154w    403 calls
| | Properties                      :      0.000u      0.000s      4.711w 225044 calls
| | Functional                      :      0.000u      0.000s     41.307w 225044 calls
| | V_xc                            :      0.000u      0.000s      4.701w 225044 calls
| JK: D                             :      0.000u      0.000s      0.002w    403 calls
| JK: USO2AO                        :      0.000u      0.000s      0.007w    403 calls
| JK: JK                            :      0.000u      0.000s      0.071w    403 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.069w    403 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    403 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.027w    403 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.029w    403 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w    403 calls
HF: Form F                          :      0.000u      0.000s      0.007w    403 calls
HF: Form D                          :      0.000u      0.000s      0.002w    403 calls
HF: DIIS                            :      0.000u      0.000s      3.076w    354 calls
HF: Form C                          :      0.000u      0.000s      0.236w    354 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.019w     48 calls
Grad: S                             :      0.000u      0.000s      0.005w     48 calls
Grad: JK                            :      0.000u      0.000s      2.599w     48 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.578w     48 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.147w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     48 calls
| JKGrad: AB                        :      0.000u      0.000s      0.326w     48 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.012w     48 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.096w     48 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     48 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.654w     48 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.182w     48 calls
Grad: XC                            :      0.000u      0.000s      9.934w     48 calls
| Properties                        :      0.000u      0.000s      3.528w  26801 calls
| Functional                        :      0.000u      0.000s      4.755w  26801 calls
| V_xc gradient                     :      0.000u      0.000s      1.529w  26801 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:49:04 2026
Timers Off: Thu Apr 30 10:52:51 2026

Wall Time:      227.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      3.604w    115 calls
build grid                          :      0.000u      0.000s      2.188w    115 calls
post-process grid                   :      0.000u      0.000s      1.395w    115 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.755w    115 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.824w    801 calls
DFH: initialize()                   :      0.000u      0.000s      2.279w    115 calls
DFH: AO Construction                :      0.000u      0.000s      0.296w    115 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.040w    115 calls
HF: Form core H                     :      0.000u      0.000s      0.951w    115 calls
HF: Form S/X                        :      0.000u      0.000s      0.032w    115 calls
HF: Guess                           :      0.000u      0.000s      5.153w    114 calls
SAD Guess                           :      0.000u      0.000s      4.913w    114 calls
HF: Form G                          :      0.000u      0.000s    119.426w    923 calls
RV: Form V                          :      0.000u      0.000s    119.183w    923 calls
Properties                          :      0.000u      0.000s     19.755w 578826 calls
Functional                          :      0.000u      0.000s    107.593w 578826 calls
V_xc                                :      0.000u      0.000s     11.032w 515196 calls
JK: D                               :      0.000u      0.000s      0.005w    923 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    923 calls
JK: JK                              :      0.000u      0.000s      0.153w    923 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.150w    923 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    923 calls
DFH: compute_J                      :      0.000u      0.000s      0.068w    923 calls
DFH: compute_K                      :      0.000u      0.000s      0.068w    923 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w    923 calls
HF: Form F                          :      0.000u      0.000s      0.008w    923 calls
HF: Form D                          :      0.000u      0.000s      0.005w    923 calls
HF: DIIS                            :      0.000u      0.000s      6.134w    809 calls
HF: Form C                          :      0.000u      0.000s      0.533w    809 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.046w    114 calls
Grad: S                             :      0.000u      0.000s      0.012w    114 calls
Grad: JK                            :      0.000u      0.000s      6.696w    114 calls
JKGrad: Amn                         :      0.000u      0.000s      1.402w    114 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    114 calls
JKGrad: AB                          :      0.000u      0.000s      0.823w    114 calls
JKGrad: UV                          :      0.000u      0.000s      0.029w    114 calls
JKGrad: ABx                         :      0.000u      0.000s      0.256w    114 calls
JKGrad: Amnx                        :      0.000u      0.000s      1.614w    114 calls
Grad: XC                            :      0.000u      0.000s     24.155w    114 calls
V_xc gradient                       :      0.000u      0.000s      3.665w  63630 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      3.604w    115 calls
| build grid                        :      0.000u      0.000s      2.188w    115 calls
| post-process grid                 :      0.000u      0.000s      1.395w    115 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.755w    115 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.560w    115 calls
DFH: initialize()                   :      0.000u      0.000s      2.279w    115 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.397w    230 calls
| DFH: AO Construction              :      0.000u      0.000s      0.296w    115 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.040w    115 calls
HF: Form core H                     :      0.000u      0.000s      0.951w    115 calls
HF: Form S/X                        :      0.000u      0.000s      0.032w    115 calls
HF: Guess                           :      0.000u      0.000s      5.153w    115 calls
| SAD Guess                         :      0.000u      0.000s      4.913w    115 calls
HF: Form G                          :      0.000u      0.000s    119.426w    923 calls
| RV: Form V                        :      0.000u      0.000s    119.183w    923 calls
| | Properties                      :      0.000u      0.000s     11.105w 515196 calls
| | Functional                      :      0.000u      0.000s     96.081w 515196 calls
| | V_xc                            :      0.000u      0.000s     11.032w 515196 calls
| JK: D                             :      0.000u      0.000s      0.005w    923 calls
| JK: USO2AO                        :      0.000u      0.000s      0.008w    923 calls
| JK: JK                            :      0.000u      0.000s      0.153w    923 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.150w    923 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    923 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.068w    923 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.068w    923 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w    923 calls
HF: Form F                          :      0.000u      0.000s      0.008w    923 calls
HF: Form D                          :      0.000u      0.000s      0.005w    923 calls
HF: DIIS                            :      0.000u      0.000s      6.134w    809 calls
HF: Form C                          :      0.000u      0.000s      0.533w    809 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.046w    114 calls
Grad: S                             :      0.000u      0.000s      0.012w    114 calls
Grad: JK                            :      0.000u      0.000s      6.696w    114 calls
| JKGrad: Amn                       :      0.000u      0.000s      1.402w    114 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.380w    114 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    114 calls
| JKGrad: AB                        :      0.000u      0.000s      0.823w    114 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w    114 calls
| JKGrad: UV                        :      0.000u      0.000s      0.029w    114 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.256w    114 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.006w    114 calls
| JKGrad: Amnx                      :      0.000u      0.000s      1.614w    114 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.477w    114 calls
Grad: XC                            :      0.000u      0.000s     24.155w    114 calls
| Properties                        :      0.000u      0.000s      8.650w  63630 calls
| Functional                        :      0.000u      0.000s     11.511w  63630 calls
| V_xc gradient                     :      0.000u      0.000s      3.665w  63630 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:53:27 2026
Timers Off: Thu Apr 30 10:58:54 2026

Wall Time:      327.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      4.953w    166 calls
build grid                          :      0.000u      0.000s      3.067w    166 calls
post-process grid                   :      0.000u      0.000s      1.861w    166 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.025w    165 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.487w   1155 calls
DFH: initialize()                   :      0.000u      0.000s      3.011w    165 calls
DFH: AO Construction                :      0.000u      0.000s      0.407w    165 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.070w    165 calls
HF: Form core H                     :      0.000u      0.000s      1.987w    165 calls
HF: Form S/X                        :      0.000u      0.000s      0.053w    165 calls
HF: Guess                           :      0.000u      0.000s      7.793w    165 calls
SAD Guess                           :      0.000u      0.000s      7.441w    165 calls
HF: Form G                          :      0.000u      0.000s    185.851w   1527 calls
RV: Form V                          :      0.000u      0.000s    185.529w   1527 calls
Properties                          :      0.000u      0.000s     28.957w 941163 calls
Functional                          :      0.000u      0.000s    166.370w 941163 calls
V_xc                                :      0.000u      0.000s     16.683w 849378 calls
JK: D                               :      0.000u      0.000s      0.007w   1527 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w   1527 calls
JK: JK                              :      0.000u      0.000s      0.229w   1527 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.225w   1527 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w   1527 calls
DFH: compute_J                      :      0.000u      0.000s      0.098w   1527 calls
DFH: compute_K                      :      0.000u      0.000s      0.108w   1527 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w   1527 calls
HF: Form F                          :      0.000u      0.000s      0.012w   1527 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1527 calls
HF: DIIS                            :      0.000u      0.000s      8.462w   1362 calls
HF: Form C                          :      0.000u      0.000s      0.789w   1362 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.062w    165 calls
Grad: S                             :      0.000u      0.000s      0.017w    165 calls
Grad: JK                            :      0.000u      0.000s      8.493w    165 calls
JKGrad: Amn                         :      0.000u      0.000s      1.892w    165 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    165 calls
JKGrad: AB                          :      0.000u      0.000s      1.062w    165 calls
JKGrad: UV                          :      0.000u      0.000s      0.044w    165 calls
JKGrad: ABx                         :      0.000u      0.000s      0.346w    165 calls
JKGrad: Amnx                        :      0.000u      0.000s      2.204w    165 calls
Grad: XC                            :      0.000u      0.000s     33.256w    165 calls
V_xc gradient                       :      0.000u      0.000s      5.044w  91785 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      4.953w    166 calls
| build grid                        :      0.000u      0.000s      3.067w    166 calls
| post-process grid                 :      0.000u      0.000s      1.861w    166 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.025w    165 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.752w    165 calls
DFH: initialize()                   :      0.000u      0.000s      3.011w    165 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.567w    330 calls
| DFH: AO Construction              :      0.000u      0.000s      0.407w    165 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.070w    165 calls
HF: Form core H                     :      0.000u      0.000s      1.987w    165 calls
HF: Form S/X                        :      0.000u      0.000s      0.053w    165 calls
HF: Guess                           :      0.000u      0.000s      7.793w    165 calls
| SAD Guess                         :      0.000u      0.000s      7.441w    165 calls
HF: Form G                          :      0.000u      0.000s    185.851w   1527 calls
| RV: Form V                        :      0.000u      0.000s    185.529w   1527 calls
| | Properties                      :      0.000u      0.000s     17.112w 849378 calls
| | Functional                      :      0.000u      0.000s    150.355w 849378 calls
| | V_xc                            :      0.000u      0.000s     16.683w 849378 calls
| JK: D                             :      0.000u      0.000s      0.007w   1527 calls
| JK: USO2AO                        :      0.000u      0.000s      0.008w   1527 calls
| JK: JK                            :      0.000u      0.000s      0.229w   1527 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.225w   1527 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w   1527 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.098w   1527 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.108w   1527 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w   1527 calls
HF: Form F                          :      0.000u      0.000s      0.012w   1527 calls
HF: Form D                          :      0.000u      0.000s      0.007w   1527 calls
HF: DIIS                            :      0.000u      0.000s      8.462w   1362 calls
HF: Form C                          :      0.000u      0.000s      0.789w   1362 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.062w    165 calls
Grad: S                             :      0.000u      0.000s      0.017w    165 calls
Grad: JK                            :      0.000u      0.000s      8.493w    165 calls
| JKGrad: Amn                       :      0.000u      0.000s      1.892w    165 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.514w    165 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    165 calls
| JKGrad: AB                        :      0.000u      0.000s      1.062w    165 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.006w    165 calls
| JKGrad: UV                        :      0.000u      0.000s      0.044w    165 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.346w    165 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.006w    165 calls
| JKGrad: Amnx                      :      0.000u      0.000s      2.204w    165 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.643w    165 calls
Grad: XC                            :      0.000u      0.000s     33.256w    165 calls
| Properties                        :      0.000u      0.000s     11.846w  91785 calls
| Functional                        :      0.000u      0.000s     16.015w  91785 calls
| V_xc gradient                     :      0.000u      0.000s      5.044w  91785 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:00:56 2026
Timers Off: Thu Apr 30 11:03:16 2026

Wall Time:      140.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      2.178w     70 calls
build grid                          :      0.000u      0.000s      1.352w     70 calls
post-process grid                   :      0.000u      0.000s      0.815w     70 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.441w     70 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.082w    486 calls
DFH: initialize()                   :      0.000u      0.000s      1.300w     70 calls
DFH: AO Construction                :      0.000u      0.000s      0.170w     70 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.022w     70 calls
HF: Form core H                     :      0.000u      0.000s      0.419w     70 calls
HF: Form S/X                        :      0.000u      0.000s      0.020w     70 calls
HF: Guess                           :      0.000u      0.000s      3.215w     70 calls
SAD Guess                           :      0.000u      0.000s      3.052w     70 calls
HF: Form G                          :      0.000u      0.000s     73.274w    570 calls
RV: Form V                          :      0.000u      0.000s     73.251w    571 calls
Properties                          :      0.000u      0.000s     11.956w 357203 calls
Functional                          :      0.000u      0.000s     66.137w 357203 calls
V_xc                                :      0.000u      0.000s      6.804w 318692 calls
JK: D                               :      0.000u      0.000s      0.003w    571 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    571 calls
JK: JK                              :      0.000u      0.000s      0.091w    571 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.088w    571 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    571 calls
DFH: compute_J                      :      0.000u      0.000s      0.042w    571 calls
DFH: compute_K                      :      0.000u      0.000s      0.040w    571 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    571 calls
HF: Form F                          :      0.000u      0.000s      0.006w    570 calls
HF: Form D                          :      0.000u      0.000s      0.005w    570 calls
HF: DIIS                            :      0.000u      0.000s      3.639w    500 calls
HF: Form C                          :      0.000u      0.000s      0.380w    500 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.029w     69 calls
Grad: S                             :      0.000u      0.000s      0.007w     69 calls
Grad: JK                            :      0.000u      0.000s      3.760w     69 calls
JKGrad: Amn                         :      0.000u      0.000s      0.828w     69 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     69 calls
JKGrad: AB                          :      0.000u      0.000s      0.495w     69 calls
JKGrad: UV                          :      0.000u      0.000s      0.018w     69 calls
JKGrad: ABx                         :      0.000u      0.000s      0.149w     69 calls
JKGrad: Amnx                        :      0.000u      0.000s      1.031w     69 calls
Grad: XC                            :      0.000u      0.000s     14.635w     69 calls
V_xc gradient                       :      0.000u      0.000s      2.211w  38511 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      2.178w     70 calls
| build grid                        :      0.000u      0.000s      1.352w     70 calls
| post-process grid                 :      0.000u      0.000s      0.815w     70 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.441w     70 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.329w     70 calls
DFH: initialize()                   :      0.000u      0.000s      1.300w     70 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.240w    140 calls
| DFH: AO Construction              :      0.000u      0.000s      0.170w     70 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.022w     70 calls
HF: Form core H                     :      0.000u      0.000s      0.419w     70 calls
HF: Form S/X                        :      0.000u      0.000s      0.020w     70 calls
HF: Guess                           :      0.000u      0.000s      3.215w     70 calls
| SAD Guess                         :      0.000u      0.000s      3.052w     70 calls
HF: Form G                          :      0.000u      0.000s     73.274w    571 calls
| RV: Form V                        :      0.000u      0.000s     73.251w    571 calls
| | Properties                      :      0.000u      0.000s      6.738w 318692 calls
